,,,,ترانه هاي قديمي,,,,,
,,,,CD 1 (1 - 23),,,,,
,,,,17-2,صبح شد باز واي بر من و دل ,محسن كرامتي,حبيب سماعي,مظفر شيرازي,افشاري
,,,,18-1,صورتگر نقاش چين,مرضيه,قديمي,قديمي,ماهور
,,,,18-2,صورتگر نقاش چين,مرضيه,قديمي,قديمي,ماهور
,,,,18-3,صورتگر نقاش چين,محسن كرامتي,قديمي,قديمي,همايون
,,,,18-4,صورتگر نقاش چين,محسن كرامتي,قديمي,قديمي,ماهور
,,,,18-5,صورتگر نقاش چين,محسن كرامتي,قديمي,قديمي,چهارگاه
,,,,19,كش كش كش مكش,صديق تعريف,قديمي,دهقان ساماني,بيات ترك
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,20,ما برفتيم و تو داني,پريسا,قديمي,قديمي,نوا
,,,,21-1,نازار دلي را كه تو جانش باشي,شجريان,قديمي,مولوي,شور
,,,,21-2,نازار دلي را كه تو جانش باشي,خاطره پروانه,قديمي,مولوي,شور
,,,,21-3,نازار دلي را كه تو جانش باشي,شاهرخ,قديمي,مولوي,شور
,,,,21-4,نازار دلي را كه تو جانش باشي,محسن كرامتي,قديمي,مولوي,شور
,,,,22-1,همچو فرهاد بود كوه كني,پريسا,قديمي,نيشابوري,بيات ترك
,,,,22-2,همچو فرهاد بود كوه كني,شهرام ناظري,قديمي,نيشابوري,بيات ترك
,,,,22-3,همچو فرهاد بود كوه كني,سالار عقيلي,قديمي,نيشابوري,بيات ترك
,,,,23-1,يك حمومي من بسازم,غزال,قديمي,قديمي,افشاري
,,,,23-2,يك حمومي من بسازم,گروه كر,قديمي,قديمي,افشاري
,,,,ترانه هاي علي اكبر شيدا,,,,,
,,,,CD 2 (24 - 44),,,,,
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,24-1,از بس به تار زلفت (تار زلف),پوران,شيدا,شيدا,سه گاه
,,,,24-2,از بس به تار زلفت,شجريان,شيدا,شيدا,سه گاه
,,,,24-3,از بس به تار زلفت,محسن كرامتي,شيدا,شيدا,سه گاه
,,,,25-1,از غم عشق تو اي صنم (غم عشق),عبدالله دوامي,شيدا,شيدا,سه گاه
,,,,25-2,از غم عشق تو اي صنم,شهرام ناظري,شيدا,شيدا,سه گاه
,,,,25-3,از غم عشق تو اي صنم,شجريان,شيدا,شيدا,سه گاه
,,,,25-4,از غم عشق تو اي صنم,محسن كرامتي,شيدا,شيدا,سه گاه
,,,,26-1,از نوك مژگان مي زني تيرم چند (ناوك مژگان),نادر گلچين,شيدا,شيدا,همايون
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,26-2,از نوك مژگان مي زني تيرم چند,هايده,شيدا,شيدا,همايون
,,,,26-3,از نوك مژگان مي زني تيرم چند,امير اشكبوس,شيدا,شيدا,همايون
,,,,26-4,از نوك مژگان مي زني تيرم چند,محسن كرامتي,شيدا,شيدا,همايون
,,,,26-5,از نوك مژگان مي زني تيرم چند,مهستي - ستار,شيدا,شيدا,همايون
,,,,27-1,اگر مستم من از عشق تو مستم (مشكل پسند),مرضيه,شيدا,شيدا,ماهور
,,,,27-2,اگر مستم من از عشق تو مستم,مرضيه,شيدا,شيدا,ماهور
,,,,27-3,اگر مستم من از عشق تو مستم,خاطره پروانه,شيدا,شيدا,ماهور
,,,,27-4,اگر مستم من از عشق تو مستم,اصغر زند وكيل,شيدا,شيدا,ماهور
,,,,27-5,اگر مستم من از عشق تو مستم,سيما بينا,شيدا,شيدا,ماهور
,,,,27-6,اگر مستم من از عشق تو مستم,گروه كر,شيدا,شيدا,ماهور
,,,,28-1,امشب به بر من است و آن مايه ناز (شب مهتاب),روح انگيز,شيدا,شيدا,اصفهان
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,28-2,امشب به بر من است و آن مايه ناز,مرضيه,شيدا,شيدا,اصفهان
,,,,28-3,امشب به بر من است و آن مايه ناز,سيما مافيها,شيدا,شيدا,اصفهان
,,,,28-4,امشب به بر من است و آن مايه ناز,زند وكيل,شيدا,شيدا,اصفهان
,,,,28-5,امشب به بر من است و آن مايه ناز,سيما بينا,شيدا,شيدا,اصفهان
,,,,28-6,امشب به بر من است و آن مايه ناز,گروه كر,شيدا,شيدا,اصفهان
,,,,28-7,امشب به بر من است و آن مايه ناز,هايده - گلپا,شيدا,شيدا,اصفهان
,,,,28-8,امشب به بر من است و آن مايه ناز,ليلا,شيدا,شيدا,اصفهان
,,,,28-9,امشب به بر من است و آن مايه ناز,امير آرام,شيدا,شيدا,اصفهان
,,,,28-10,امشب به بر من است و آن مايه ناز,محسن كرامتي,شيدا,شيدا,اصفهان
